neighborhood,neighborhood.lowercase,topic,topic.lowercase,we need more,so i will,city wide
Roseway,roseway,housing,housing,"""respectable"" neighborhoods - fewer vagrants, strip clubs, panhandling, etc.",move away from dirty unsafe neighborhoods,
Roseway,roseway,housing,housing,stop separating lots and squeezing new houses in. keep building levels at a cap in height. keep stumptown beautiful - we like seeing our mountains,,
Parkrose,parkrose,housing,housing,low income housing safety (security guards) reasonable rent.,participate in more community meetings,
Downtown,downtown,housing,housing,housing that is affordable for everyone,,
Downtown,downtown,housing,housing,you are one way to be homeless in one paycheck gone,,
Downtown,downtown,housing,housing,"section 8 housing that is at 30% income not just ""affordable"", $1100 per month with income on SSD and SSI of $900 - yes we need more in downtown / pearl area! no more condos!",,
Downtown,downtown,housing,housing,voices supporting sun and light for everyone - no downtown full of towers,"advocate for human scale far. think Paris, not NYC",
Downtown,downtown,housing,housing,affordable housing,contact local representatives,
Downtown,downtown,housing,housing,affordable housing that's not ghetto!!!,,
Downtown,downtown,housing,housing,help and housing for the house-less and mentally ill,vote for leaders and initiatives that help address this,
Downtown,downtown,housing,housing,help for the mentally challenged and homeless :(,look into how i can volunteer,
Downtown,downtown,housing,housing,housing / services / breakthroughs with people are are living on the streets,strike up more conversations with more people who are homeless to learn about their hopes and dreams,
Downtown,downtown,housing,housing,housing and programs to help get people off the streets. actually address mental health. not just push it aside. give people resources and support to find and stay sober.,,
Downtown,downtown,housing,housing,affordable or income based housing free housing,do whatever i can in need at the moment,
Downtown,downtown,housing,housing,,cheaper apartments for section 8,
Downtown,downtown,housing,housing,a little more affordable housing,vote for sarah,
Downtown,downtown,housing,housing,permanent housing for all people who are homeless!,,
Downtown,downtown,housing,housing,housing options for homeless less trash!!! work programs equal housing,be loud and seek to understand issues on both sides,
Downtown,downtown,housing,housing,#1 homeless need to be relocated away from city center and tourism,advocate the city countil to find solutions,
Downtown,downtown,housing,housing,affordable housing in portland,tiny home home communities to eliminate homelessness,
Downtown,downtown,housing,housing,need more affordable housing apartments $500 to $800 range,keep advocating for this need for housing,
Downtown,downtown,housing,housing,preservation of historic neighborhoods,support historic preservation and historic districts,
Downtown,downtown,housing,housing,,stop sleeping outside,
Downtown,downtown,housing,housing,housing for homeless take care of our country first,vote for hillary,
Sabin,sabin,housing,housing,affordable housing above supermakerts and grocery stores like in holland and scandinavia,petition local government and local business. it's not complicated,
Beaverton,beaverton,Housing,housing,Affordable housing (i mean the rent these days...),"mosty likely need more roommates, but maybe something else? like working in an assited living home (my old job out of state)",
Beaverton,beaverton,Housing,housing,affordable housing integrated into all neighborhoods,share this message with others,
Beaverton,beaverton,Housing,housing,,housing should be cheaper here,
Beaverton,beaverton,Housing,housing,affordable housing for portland metro area,,
Beaverton,beaverton,Housing,housing,affordable housing for the middle class,eventually move to a place i can afford to live,
Beaverton,beaverton,Housing,housing,affordable housing,why not use vouchers to cover at least partial rent for low income families,
Beaverton,beaverton,Housing,housing,housing with poor people in mind,keep looking for government to fix housing,
Beaverton,beaverton,Housing,housing,affordable housing and affordable apartments being pet friendly,rent control for hard working people,
Downtown,downtown,Housing,housing,affordable housing. get my neighbors off the streets!,lobby mayor and council to enforce current rules and create new incentives for developers,
Downtown,downtown,Housing,housing,affordable high-density buildings near / with practical green community areas. so many plaza / community areas go unused due to poor design,,
Downtown,downtown,Housing,housing,eco friendly buildings in portland in housing especially,petition others to join me in making the opinion known.,
Downtown,downtown,Housing,housing,control on homeless. they are everywhere! we need more options for affordable housing.,,
Downtown,downtown,Housing,housing,affordable housing,continue working on it (county),
Downtown,downtown,Housing,housing,rent control. it's too expensive to live in this city,,
Downtown,downtown,Housing,housing,apartments and housing affordable to the average portland longtime resident (not wealthy transplant!),vote sarah. not jules or ted.,
Downtown,downtown,Housing,housing,"housing but not at the risk of losing more land. if one utilizes all the open spaces - we lose trees which absorb carbon dioxide and give off oxygen - loss also affects our health. all building and no land leads to no place for water to be absorbed and leads to flooding. high buildings lead to caverouns areas, less light which is not healthy - so I will continue to advocate for moderation and thorough thinking before adding more",,
Downtown,downtown,Housing,housing,affordable housing and less gentrification,,
Downtown,downtown,Housing,housing,solutions on / for homelessness everywhere in the city,encourage city leaders to continue on finding solutions to this complex issue,all neighborhoods
Downtown,downtown,Housing,housing,affordable spaces and community gatherings combining neighborhoods,go to more community events and forums on housing :),
Downtown,downtown,Housing,housing,affordable housing built in the portland area!volunteer or donate to local housing organizations,volunteer or donate to local housing organizations,all neighborhoods
Downtown,downtown,Housing,housing,affordable housing for the working poor. stricter guidelines for landlords and owners,continue to support our homeless and working poor,
Downtown,downtown,Housing,housing,rent controlled properties,contact the local tenants union,
Downtown,downtown,Housing,housing,mixed affordable housing downtown,work with homeless population,
Downtown,downtown,Housing,housing,power players on the ground with the homeless to understand their issues,advocate for them,
Downtown,downtown,Housing,housing,affordable large housing / apartments,advocate for higher density neighborhoods,
Northwest District,northwest district,Housing,housing,affordable housing,rent one bed to multiple people,
Downtown,downtown,Housing,housing,"affordable housing and to rething displacement of existing communities that make portland ""portland""",volunteer with my boise neighborhood association,
Downtown,downtown,Housing,housing,affordable house / lower rent for the younger generation,"speak out, be more involved in city voting",
Downtown,downtown,Housing,housing,"affordable housing for families / single mothers - more homes, less apartments",,
Downtown,downtown,Housing,housing,Housing,advocate for all homelessness in portland,
Downtown,downtown,Housing,housing,cheaper right. low income!,protest it until the city decides to get it in control,
Downtown,downtown,Housing,housing,lower housing,,
Downtown,downtown,Housing,housing,more places for the homeless to go,,
Downtown,downtown,Housing,housing,rent control,,
Downtown,downtown,Housing,housing,low income / homeless housing,sustain stability for homeless,
Downtown,downtown,Housing,housing,to address the homeless overflowing our neighborhoods and bike trails,,
Downtown,downtown,Housing,housing,rent control!!!! (don't become another san francisco),talk about it until more people listen,
Downtown,downtown,Housing,housing,affordable housing,follow the news about it,
Downtown,downtown,Housing,housing,fix (work on) the drug dealing that is common knowledge to everyone and takes place in the open,pay more taxes for increased patrol and facilities to help with addiction and help find job opportunities for people.,
Downtown,downtown,Housing,housing,affordable housing in the portland area,?,all neighborhoods
Downtown,downtown,Housing,housing,rent control. i can afford to live within an hour of my work,live with mom until i can marry rich,
Downtown,downtown,Housing,housing,localization and expansion dispersed throughout portland with housing,expand not internally but externally on portland's communities lines,
Downtown,downtown,Housing,housing,affordable housing also homeless people need transient housing,i help point out where they can get help,
Downtown,downtown,Housing,housing,"affordable housing with 2, 3, 4 bedrooms",call my councilperson,
Downtown,downtown,Housing,housing,housing for the homeless and affordable housing for all,,
Downtown,downtown,Housing,housing,less doctors - case workers - and advocates forcing people to say they are drug addicts just to get help :| wow!,am making it happen :),
Downtown,downtown,Housing,housing,"safe, secure, livable homes for portland's old and new citizens :)",... if i had the $$ money. I would purchase a home and house a few think globally act locally!,
Downtown,downtown,Housing,housing,affordable rentals / housing for artists and creatives! i live in a creative community and rents are skyrocketing. this issue is affecting my friends and my neighbors and myself. i love portland. I don't know if I will be able to afford it here.,engage and participate in discussions. i will keep my eyes and ears open for solutions and add my energy. creativity and heart can accomplish anything.,
Downtown,downtown,Housing,housing,"less high rise buildings. need more paris-like housing, portland has cut off the crown jewel views, Mount Hood and the river",fight to have the portland design committee reorganized and remove developers to minor roles,
Downtown,downtown,Housing,housing,less people stay in free or subsidized housing for a decade or longer while others cannot get help :) wow :),am making it happen :),
Downtown,downtown,Housing,housing,peace of mind about keeping our homes ....,"continue to practice gratitude, hear the people ... be the people.",
Downtown,downtown,Housing,housing,cheap housing for young people,,
Downtown,downtown,Housing,housing,clean rivers and air,"continue to vote for and be involved with those actually trying to address this and not just talk about ""plans""",
Downtown,downtown,Housing,housing,bathrooms for the homeless population,vote for more housing options,
Downtown,downtown,Housing,housing,"low income housing options for homeless and low income people. there are many homeless people on the streets here - what about tiny houses, alternatives? ",learn more engagine in dialogue about supports to empower the homeless folks downtown,
Downtown,downtown,Housing,housing,"answers for ""tent cities"" and the negative effect on portland",,
Downtown,downtown,Housing,housing,permanent and temporary affordable housing for individuals in need,lobby the portland city countil to support / enforce existing laws requiring developers to provide affordable housing,
Downtown,downtown,Housing,housing,programs to help the homeless get off the streets,talk to the mayor,
Downtown,downtown,Housing,housing,accessibility for those trying to get off the streets!,vote for hillary clinton,
Downtown,downtown,Housing,housing,affordable housing that doesn't displace businesses or other residents in that neighborhood. part of the housing issue could be relieved with a higher minimum wage,attend minimum wage workshops / affordable housing rallies unless i'm busy working so i can still pay my bills which is likely.,
Downtown,downtown,Housing,housing,affordable and transitional housing and homeless advocacy,be involved with local government and policy,
Downtown,downtown,Housing,housing,community engagement,advocate to city officials,
Downtown,downtown,Housing,housing,affordable housing and / or apartment rents,take the time to be aware of the city council's action on this and look for others concerned,
Downtown,downtown,Housing,housing,i need a house for my little family thank you.,i need donation or work for a house,
Downtown,downtown,Housing,housing,equitable houseing for those with addiction / mental illness,volunteer to raise awareness :),
Downtown,downtown,Housing,housing,affordable housing for the homeless population! not just shelters.,talk about this to neighbors and coworkers,
Downtown,downtown,Housing,housing,lower housing in all of portland,lower housing should be offered to all that need it and have a choice of place,
,,Housing,housing,oversight of new construction / housing to make sure we can provide some alternatives to high rent,make sure to speak out when I can!,
,,Housing,housing,affordable housing,,
,,Housing,housing,affordable housing help for the homeless into safe perminent housing,help community organizations volunteer give suggestions on ways to solve this issue,
Kenton,kenton,Housing,housing,affordable / stable-priced limits on rent housing in Kenton so we don't get all pushed out of our neighborhood,vote! advocate,
,,Housing,housing,affordable housing like $1000 or less,,
,,Housing,housing,Equity in housing,vote,
,,Housing,housing,townhomes / condos > 2000 square feet,,
,,Housing,housing,"local, high quality housing design with longevity in mind rather than monetary gain","participate more in public hearings regarding new development. also, i will avoid moving into multi-family housing that fails to add to our great city in a meaningful way",
,,Housing,housing,affordable housing and assistnace for the homeless,vote for a city council i blieve will improve this issue #feelthebern,
,,Housing,housing,stable rent for middle class,"lobby, vote",
,,Housing,housing,"affordable housing, fewer tear-downs and massive new homes/condos",stay in the neighborhood! be a part of the solution,
,,Housing,housing,affordable housing and less gentrification,look for opportunities to help my current neighbors,
,,Housing,housing,affordable housing for low-income singles,continue living with a roommate until I can afford my own place,
,,Housing,housing,expectations that landlords will be fair and not only care about money $$,ask more questions!,
,,Housing,housing,measures to keep rent from skyrocketing!,,
,,Housing,housing,we need more housing support and we need more affordable housing,try to fix the problem about it and help,
,,Housing,housing,"affordable housing (rent control, low income)",promote community engagement,
,,Housing,housing,low income housing. time to take care of our homeless people,say something!,
,,Housing,housing,renovation and protection of historic houses,,
,,Housing,housing,affordable housing for low income people,,
,,Housing,housing,cheaper houses for youth,put in lake oswego,
,,Housing,housing,affordable housing options. shits expensive,,
Piedmont,piedmont,Housing,housing,a responsible mix of both affordable and market-rate rentals / housing,talk about this issue with my neighborhood association and support city council on initiatives that address this issue,
,,Housing,housing,affordable housing in this neighborhood and all of portland for that matter,not pay rent! just kidding i still need to think of an effort to fight this issue,
,,Housing,housing,rent controlled apartments,,
Boise,boise,Housing,housing,ways to solve homeless housing,be an active participant in figuring it out,
,,Housing,housing,help for the homeless,more housing support in Washington county,
,,Housing,housing,to keep stroheckers a store an classy condos / townhouse apartments on top. need a stry up in the heights,,
,,Housing,housing,we need at least two national public service announcements a day to address veteran homeless and at risk of being homeless and especially addressing females homeless veterans. signed Sgt. Henry Usarry ex homeless :),,
Beaverton,beaverton,Housing,housing,rapid increase in rental in beaverton and hillsboro,switching over to other county,
,,Housing,housing,affordable housing in this neighborhood,,
,,Housing,housing,Homesless shelters (available beds),share with city council,
Pearl,pearl,Housing,housing,affordable housing in the pearl,get informed join a coalition!,
,,Housing,housing,mid-range housing. portland does a great job with low income and high priced housing. unfortunately i don't qualify for either ,participate as a voice to the city meetings. show up and vote. educate myself on housing developments so I can help others in similar situations,
,,Housing,housing,affordable housing <3 !,keep renting a room and hope to win the lottery <3 !,
Boise,boise,Housing,housing,affordable housing - both to rent and buy in inner NE as we build density,continue to be involved in Boise Neighborhood Association,
,,Housing,housing,places to live for less than $1000 per month,not have to spend 50% of income on rent,
,,Housing,housing,reasonable rent security for low-middle income,make sure to observe rent prices locally,
,,Housing,housing,honey tram pt,re good bye bye,
,,Housing,housing,support and opportunities for those building financial literacy to earn assets and equity,take financial literacy courses and move past my own mental and societal obstacles,
,,Housing,housing,housing. housing is a right not a luxury,support policies and politicians that work towards zero homelessness and affordable housing reform,
Beaverton,beaverton,Housing,housing,rent control / caps in Beaverton area,lobby and advocate to get issues heard,
,,Housing,housing,affordable housing,,
,,Housing,housing,affordable houses rent highly expensive,,
,,Housing,housing,low income apartments,talk to management company,
,,Housing,housing,affordable housing,"educate myself on current situations, talk to others about it and vote when available",
,,Housing,housing,"affordable housing what good in transport, education, etc without access to safe and stable housing? portland is in a crisis!",,
,,Housing,housing,black owned businesses and property,"begin attending neighborhood meetings, raise awareness through art, vote",
,,Housing,housing,ways to stop gentrification and reverse yuppification,help to create a climate of fear through targeted property destruction,
,,Housing,housing,affordable housing in all neighborhoods,pay taxes and vote sit on committees,
,,Housing,housing,affordable housing! rents too high!,vote for rent control now!,
,,Housing,housing,"affordable housing for houseless people, especially those with mental health issues","volunteer with ""rethinking psychiatry""",
,,Housing,housing,homeless shelters and affordable housing for low income families,vote for bills regarding the homeless and donate <3,
,,Housing,housing,affordable housing and mix up the low income housing throughout the city,sponsor and vote for change and rent caps,
,,Housing,housing,affordablility,,
,,Housing,housing,affordable housing,participate in town hall meetings,
,,Housing,housing,gentrification,,
,,Housing,housing,housing for low income families more for homeless people and families,i will do my best to help as many homeless people as i can in anyway i can <3 gigi,
,,Housing,housing,homeless shelters for transgender people,help transgender people when i can,
Northwest District,northwest district,Housing,housing,affordable housing. actual affordable housing,vote for government reps who have plans,
,,Housing,housing,tiny houses for homeless! a community for homeless people! :),,
downtown,downtown,housing,housing,affordable housing help for seniors finding housing,keep looking. i live in a dump in lake oswego with dirty water in the pipes. Im paying more than 60% of my income for a dump.,
downtown,downtown,housing,housing,rent control,get more involved in community outreach,
downtown,downtown,housing,housing,sustainable residences,reside within ,
downtown,downtown,housing,housing,affordable housing less californians! ;),,
downtown,downtown,housing,housing,affordable housing near / within the city ,...?,x
downtown,downtown,housing,housing,all new construction have a green roof publicly available accessible ,connect to public meeting about the issues.,
hillsdale,hillsdale,equity,equity,students & faculty of color at LC; access for lower-income students,join my colleagues in pushing for administrative attention to diversity,
burlingame,burlingame,equity,equity,be able to afford to buy a house someday in the city I was born + raised as an architect I can't even afford the appartments & design :( WAGE EQUITY FOR ALL,,
cully,cully,equity,equity,# communication practice # universal ombudsman #camus,# bea better sport # self acceptance # reach out the moment,
sunnyside,sunnyside,equity,equity,access to the ars + affordable housing for all,education myself about issues of access + inclusivity + get involved,
sunnyside,sunnyside,equity,equity,we need a skate-park close to us,,
laurelhurst,laurelhurst,equity,equity,our idea post should be bigger than the rest!,lobby relentlessly,
lloyd,lloyd,equity,equity,integrated neighborhoods,acknowledge portland's history recognize privilege. welcome those from diverse backgrounds. invest in local businesses,
milwaukie,milwaukie,equity,equity,"welcoming, inclusive creative spaces for people of color",,
milwaukie,milwaukie,equity,equity,Montavill: Police presence / investigations unity to clean up crime / decrease drug & illegal activity,report drug activity to local police stations,
South Waterfront,south waterfront,equity,equity,Compassion,Get to know people and appreciate them for who they are,
South Waterfront,south waterfront,equity,equity,Equal access to the best of the city,Be a proponent for high quality dense development and transportation infrastructure,
Overlook,overlook,equity,equity,Neighborhood activism and participation,Engage my neighborhood association in sabin and plant seeds for future,
Overlook,overlook,equity,equity,Communications so that we can stop dissing anyone or part of life on our planet. All issues are connected. Commune is #1.,"Continue to work for inclusion in all my decisions and interactions. To share info, feelings, my truth and to listen. ",
Overlook,overlook,equity,equity,Building improvements,Be doing a remodel to my business,
Brooklyn,brooklyn,equity,equity,Empathy in our community,Love everyone as if they are my own kin.,
East Moreland,east moreland,equity,equity,Equity in PDX. Vote for Sarah.,Advocate agitate and be a change maker for PDX,
East Moreland,east moreland,equity,equity,"More people to reach out to help those who are in need, food, a hug, etc.",Be kind to everyone.,
Richmond,richmond,equity,equity,Imported trees and cattle,Write a governer,
Richmond,richmond,equity,equity,#communicationpractice #universalombudsman #camus,#selfacceptance #pyramidpowerscheme #weareallone,
Reed,reed,equity,equity,"Stability (if wanted) for ""authentic"" minority/subculture/diverse communities... not just till whiteness history month catches on.",Not demand that minority/subculture/diverse communities feed/entertain me only on my terms (festivals!),
King,king,equity,equity,Police and law enforcers to stop drug deals and gangs,talk to people to help get help,
Forest Park / Goose Hollow / Bridlemile,forest park / goose hollow / bridlemile,equity,equity,More services for domestic violence shelters for men and women. Build more shelters not more apartments for higher income. OLCC should fund that issue.,,
Chinatown,chinatown,equity,equity,strict enforcement in the parks to maintain a safe space for kids to play,vote for Kate Brown for office!,
Chinatown,chinatown,equity,equity,fun ways of public involvement like this dome and exercise,get the organized for pbot,
Concordia,concordia,equity,equity,local minority run affordable businesses and less cultural appropriation and profiting by middle class / upperclass white people,only buy from legacy and/or minority owned and run business i will not buy repackaged and fetished crap from stores displacing needed businesses,
Concordia,concordia,equity,equity,diversity in neighborhood business owners,support independent and local black-owned businesses in NE but I also hope PDX supports them financially or with tax deductions,
Concordia,concordia,equity,equity,diverse leaders that model how to share resources and creatively problem solve,create curriculum that is culturally specific and addresses skills to learn to lead,
Beaumont,beaumont,equity,equity,racial diversity and economic diversity,,
Mt. Tabor,mt. tabor,equity,equity,stop profiling people of color,more community awareness workshop or training free,
Lents,lents,equity,equity,Community input and leadership directing the investments / projects in our neighborhood,,
Lents,lents,equity,equity,support for spanish speaking parents and include in community,,
Lents,lents,equity,equity,elected officials who represent the average portlander...,run for mayor of portland,
Gresham,gresham,equity,equity,support iniatives that get police officers / community leaders more engaged in our lower income communities in postive ways,your neighborhood should feel safe no matter what part of the city you live in. it's hard to concentrate on school when you are worrying about how you're getting home,
Sullivan's Gulch,sullivan's gulch,equity,equity,a museum of contemporary craft,keep the issue alive,
Ladd,ladd,equity,equity,affordable / diverse opportunities,inform people about employment i hear about,
Hollywood,hollywood,equity,equity,Equity and balance amongst the people and their opinions of others. we are all human so we need to be loving and tolerant.,"treat others i meet with love, kindness, tolerance, and lead by example",
Irvington,irvington,equity,equity,we need the PPD to back off on excessive violence they use on our streets no more don't choke em smoke em police,vote for more citizen oversight for our police,
Irvington,irvington,equity,equity,neighborhood watch!,start one!,
Irvington,irvington,equity,equity,affordable housing for displaced families who were hit the most with rapid gentrification. let's create opportunities for the most marginalized,"put pressure on civic leaders to engage communities of color and have accountability also, we need inclusive zoning!",
Roseway,roseway,equity,equity,housing and business protection for asian residents and business being gentrified out of roseway,lobby city council,
Downtown,downtown,equity,equity,opportunities to know people of other cultures who live here,"find out more about race talks, do internet searches about inter-cultural exchanges",
Downtown,downtown,equity,equity,people who care about the entire state of oregon,educate all the people who didn't grow up here about the history and culture,
Downtown,downtown,equity,equity,heroin,try to find it,
Downtown,downtown,equity,equity,right to rest! it shouldn't be illegal to sit on a park bench after 9pm,raise awareness of this issue,
Downtown,downtown,equity,equity,opportunity for people to join the business class and realize creative ideas,"continue pursuing my own, occupying my space in the hood",
Downtown,downtown,equity,equity,balance between welcare of companies and families. gross differences in resources cause or substantially contribute to other issues you highlight and sometimes block policies deisgned to help,increase my support in time and treasure to organizations and policies designed to decrease extremes,
Boise,boise,Equity,equity,black owned businesses,support the schools and neighborhos so that opportunity can flourish,
Beaverton,beaverton,Equity,equity,dispersed income levels in schools,redraw boundaries,
Boise,boise,Equity,equity,people from diverse backgrounds,do my best to be open to people who are different than me,
,,Equity,equity,student-baseed health centers,advocate for them in my school and community,
,,Equity,equity,"action on remediating arsenic, cadmium etc. soil tests, blood or urine testing ASAP","volunteer to help inform residents, or help distribute test kits or whatever",
,,Equity,equity,"inspiring, walkable neighborhood areas - streets closed to cars, outdoor restaurant seating with no car traffic, beauty, community","join an organization advocating this. research areas doing it well, start a vlog about findings",
,,Equity,equity,"family safe bike trails / paths - not breathing car exhaust, not going to get run over",find an organization advocating for this and join it (or start it if it doesn't exist),
,,Equity,equity,recognition for people with mental / physical disabilities and employment resources,,
,,Equity,equity,affordable housing for lower income (but not subsidized) folks,rent a room in my house to someone working in a nonprofit or for equity issues,
,,Equity,equity,"places where more people can feel genuinely comfortable, welcome, and at home",try to be welcoming and accepting in each of my personal encounters with people,
,,Equity,equity,black families staying in our community,commit $50 to anti-displacement efforts and encourage neighbors to do the same!,
,,Equity,equity,For women in the business work space,,
,,Equity,equity,ways for non-profits to help one another and collaborate to not duplicate services,communicate with the appropriate people directly and change the world that way,
,,Equity,equity,ways to get a handle on property taxes in the pearl - we own air space not land,not feel like i am paying multiple the amount of money $ of similar valued properties in other neighborhoods,
,,Equity,equity,can we please save the park from becoming a parking structure?,"celebrate the plant life, parks and joy in my neighborhood and look out for petitions to save this area's lovely park",
,,Equity,equity,effort to stop gentrification,... well ... I have no clue. the powers that be are bulldozing everything,
,,Equity,equity,leaders sharing big ideas and making shit happen!,make a movie to show you how! #portlandinc,
,,Equity,equity,communication practice birth school work death the godfathers this encompasses all topcis Camas,support and make dialogs art is a dialog,
downtown,downtown,equity,equity,empathy and understanding.,,
downtown,downtown,equity,equity,proportional representation,vote,x
downtown,downtown,equity,equity,programs about historical advocacy / activism ,help create some! <3,
downtown,downtown,equity,equity,trash cleanup! too trashy!,encourage higher fines in form of volunteer punishment (cleanup instead of fines),
sabin,sabin,equity,equity,"portland is growing. fast. we need to ensure, through all levels of institution, to give access to all",introduce myself to my neighbors. #Sabin,
downtown,downtown,equity,equity,nightlife for people under 21!,be able to go out at night and have a place to go and have fun.,
brentwood-darlington,brentwood-darlington,equity,equity,representation in pdx government from diverse neighborhoods so all needs are being addressed- brentwood-darlington continues to be ignored by city council by leaving miles of roads and sidewalks unpaved and unsafe for children and mobility impaired. we have to push strollers and wheelchairs in bike lanes because there's no other choice! stop ignoring brentwood-darlington!,,
downtown,downtown,equity,equity,"fewer vagrants, travelers panhandlers and bums on the downtown street","feel better about paying $5,500 a year in property taxes for living downtown.",
downtown,downtown,equity,equity,more police with camera on their body,to raise more awareness,
downtown,downtown,equity,equity,clear understanding of others.,work on bringing more oregonians together to celebrate our differences ,
downtown,downtown,equity,equity,revenue from corporations and ultra-wealthy to fund government,work to elect social democrats and progressives,
downtown,downtown,equity,equity,less small groups of similar folk demanding issues in their favor... everyone deserves equality,i am making it happen!,
downtown,downtown,equity,equity,"opportunity for homeless, so they will leave the downtown area.",not give them any money when seen.,
downtown,downtown,equity,equity,"city contractors cleaning the parks / enforcing park closures after midnight, before park rangers are on duty.",lobby portland parks and recreation. join the parks city council.,
downtown,downtown,equity,equity,equity resources and diversity and inclusion,strive everyday to be more inclusive,x
downtown,downtown,equity,equity,"i hate to say it, but i've concluded feeding the homeless attracts more... same with housing. sorry...",,
downtown,downtown,equity,equity,"public restrooms, available to all",,
downtown,downtown,equity,equity,transgender visibility in local lgbtq+ initiatives,make my voice known as a transgender portlander.,
downtown,downtown,equity,equity,equality between others. regardless of beliefs / morals,accept others for who they are! :),
hillsdale,hillsdale,employment,employment,options for employment and help for unemployed to get jobs rather than long-term benefits,go to neighborhood meetings,
burlingame,burlingame,employment,employment,jobs for teh youth & creative opportunities,use my creative powers to create more opportunities,
sunnyside,sunnyside,employment,employment,Employment for minorities,Treat everyone equally no matter what!,
sunnyside,sunnyside,employment,employment,more gainful employment for individuals freshly out of prison where they can be making sufficient wages to support themselves in a time of volatile transition,,
lloyd,lloyd,employment,employment,better pay for minimum wage jobs,be able afford an apartment with being on assistance,
milwaukie,milwaukie,employment,employment,solar power! clean energy,advocate for community solar,
milwaukie,milwaukie,employment,employment,jobs in manufacturing and trads,use technology to bring more manufacturing to portland / oregon,
milwaukie,milwaukie,employment,employment,skilled jobs + useable good pay wages,vote for candidates who will push for this,
South Waterfront,south waterfront,employment,employment,"Shops, businesses, and options for employment in S. Waterfront",,
South Waterfront,south waterfront,employment,employment,Moved here from Canada. Wonderful city. Great job opportunities.,,"Crossed off ""we need more"""
South Waterfront,south waterfront,employment,employment,Do not ship our jobs to China!,,
Overlook,overlook,employment,employment,"Jobs. I, as a business will try to proivde jobs, education and temporary housing. All needed.","Work with state, county, and city along with contractors to provide.",
Richmond,richmond,employment,employment,Jobs for college grads,Take the issue to the government,
Chinatown,chinatown,employment,employment,jobs to support the homeless people,i will help support programs that support that,
Chinatown,chinatown,employment,employment,chinatown needs to be a 24-hour red light district. every PDX neighborhood has differentiation. make chinatown unique.,Help organize Chinatown businesses toward 24-hour district.,
Foster-Powell,foster-powell,employment,employment,employers in SE so people can work where they live,help growing businesses by supporting local,
Mt. Tabor,mt. tabor,employment,employment,mid-wage jobs - not service. we need to make things (not digital),hope and buy locally,
Lents,lents,employment,employment,"grocery stores, banks and general services",pay my taxes? i honestly have no idea,
Sellwood,sellwood,employment,employment,employment resources for felons and others freshly released from prison!,"use any influence i have to help folks i know show that a felony on your record doesn't mean you're a ""bad"" person",
Gresham,gresham,employment,employment,non-farming jobs. we need higher paying jobs,encourage people to hire more youth,
Irvington,irvington,employment,employment,jobs that pay enough to cover the rising housing costs,back responsible campaigns to raise wages!,
Irvington,irvington,employment,employment,women working in tech,start a female business someday,
Downtown,downtown,employment,employment,less employers who do not offer jobs with money to raise a family or even pay basic rent. i have a job but no money for rent!,am making that change :),
Downtown,downtown,employment,employment,less employers who do not give healthcare! actually wtf is my health care controlled by my boss? MAFIA,am shaking down the bad guys :),
Downtown,downtown,employment,employment,mutually beneficial collaboration between the portland business bureau and homeless population,creatively employ and engage more homeless individuals as a local business owner,
Downtown,downtown,employment,employment,homeless working (off the streets),be looking for jobs for homeless,
Downtown,downtown,employment,employment,less condos! more small business,be able to afford to live!,
Downtown,downtown,employment,employment,female creative leadership roles,have diverse creative teams,
Downtown,downtown,employment,employment,small business opportunities,educate population about small business and creating jobs locally,
Beaverton,beaverton,Employment,employment,"support, programs and job opportunities for soldiers and vets",,
Downtown,downtown,Employment,employment,employment opportunities,make my and my friends futures bright,
Downtown,downtown,Employment,employment,,talk with reps and friends about these ideas,
Downtown,downtown,Employment,employment,"well paying jobs for designers (cause $20 an hour doesn't cut it. come on, Portland!)",,
Downtown,downtown,Employment,employment,laws to protect peoples jobs against serious health and mental health issues,look for better jobs with better laws,
Downtown,downtown,Employment,employment,"manufacturing jobs, need jobs for middle class - its ok to see some grit in portland",,
Downtown,downtown,Employment,employment,jobs for the homeless that want to work.,hire them.,
Downtown,downtown,Employment,employment,jobs for people and not so much judgmental employers,be able to get a good job,
Downtown,downtown,Employment,employment,employment opportunities for all,advocate for all unemployed persons in portland,
Downtown,downtown,Employment,employment,snacks,go to fred meyer,
Downtown,downtown,Employment,employment,less employers only hiring to get paid by the feds to employ,am changing it all,
Downtown,downtown,Employment,employment,less brad avakian!! :( he's mafia get rid of him now :) ,am changing it all. brad allows chemical poisonings non payment of paychecks mafia to employ and destroy hard working honest victims!,
Downtown,downtown,Employment,employment,protection and benefit requirements for the working class living in the world's richest country,raise awareness around the issue with friends and family. share my experience.,
Downtown,downtown,Employment,employment,entry level jobs,continue to build my skills,
Downtown,downtown,Employment,employment,"1. jobs that pay a living wage so parents don't have to over-extend, work 2-3 to support families. 2. community jobs that won't get de-funded and put workers out of jobs",stay retired! i've had enough of both 1 and 2. volunteer for the right agency or position,
Downtown,downtown,Employment,employment,pay for teachers,,
Downtown,downtown,Employment,employment,"career opportunities in health care, technology, and education","help job seekers to create resumes, cover letters",
Downtown,downtown,Employment,employment,"as more people move to portland, we need more job opportunities with living wages!!!","continue to learn, be involved in my community and seek small ways to make improvements. also, a second job :(",
Downtown,downtown,Employment,employment,jobs training,,
Downtown,downtown,Employment,employment,jobs! i'm hustlin over here!,ask that people hire more creatives!,
